香山西北街坊,整租,随时看房,浦东,距离地铁德平路420米,7000,押2付3),82,2室1厅,顶层/6层
临沂二村,整租,随时看房,浦东,距离地铁临沂新村633米,5000,押2付3),50,2室1厅,顶层/6层
妙栏小区-妙栏路401弄,整租,提前预约,浦东,距离地铁川沙676米,4800,押2付3),74,3室1厅,顶层/6层
新高苑三期,整租,提前预约,浦东,距离地铁金京路1231米,7200,押2付3),103,3室2厅,高楼层/6层
兰城小区,整租,提前预约,浦东,距离地铁博兴路589米,4800,押2付3),62,2室1厅,顶层/6层
上南十二村,整租,提前预约,浦东,距离地铁东明路692米,5200,押2付3),48,2室1厅,中楼层/6层
金桥路226弄,整租,提前预约,浦东,距离地铁金桥路1400米,4400,押1付3),40,1室1厅,中楼层/6层
惠德新邨,整租,提前预约,浦东,距离地铁龙阳路728米,5400,押2付3),56.12,2室1厅,中楼层/7层
德州六村,整租,提前预约,浦东,距离地铁成山路577米,6000,押2付3),60,2室1厅,中楼层/6层
上南五村,合租,提前预约,浦东,距离地铁耀华路477米,2600,押1付3),12,1室1厅,顶层/6层
由由七村,整租,提前预约,浦东,距离地铁杨高南路320米,4800,押1付3),47.3,1室1厅,底层/6层
上南二村,整租,提前预约,浦东,距离地铁耀华路370米,4600,押1付3),33,1室1厅,高楼层/6层
万航公寓,整租,随时看房,静安,距离地铁江苏路628米,8500,押2付3),85,2室1厅,顶层/24层
金杨五街坊,整租,随时看房,浦东,距离地铁蓝天路450米,5200,押1付3),49,2室1厅,顶层/6层
荷一小区,整租,提前预约,浦东,距离地铁五莲路520米,5500,押2付3),67,2室1厅,高楼层/6层
田林三村,整租,提前预约,徐汇,距离地铁桂林公园415米,5000,押2付3),37,1室1厅,底层/6层
华滨家园,整租,提前预约,徐汇,无,7500,押2付3),90,2室2厅,低楼层/35层
金钻苑-海松路421弄,整租,随时看房,浦东,距离地铁曹路887米,5100,押1付3),80,2室2厅,高楼层/6层
崂山四村,整租,提前预约,浦东,距离地铁东昌路340米,6600,押2付3),36,2室0厅,底层/5层
明辉苑,整租,随时看房,徐汇,距离地铁宜山路127米,11000,押2付3),94,2室1厅,中楼层/15层
康健路100弄,整租,提前预约,徐汇,距离地铁漕宝路695米,5000,押2付3),49,2室0厅,顶层/5层
长桥新村,整租,随时看房,徐汇,无,7000,押1付3),65.75,2室1厅,低楼层/5层
常兴家园,整租,随时看房,闵行,距离地铁外环路1099米,4200,押2付3),52,2室1厅,顶层/6层
金桂小区,整租,随时看房,浦东,距离地铁世纪公园214米,6300,押2付3),40,1室1厅,顶层/6层
长桥一村,整租,随时看房,徐汇,无,3800,押1付3),45,1室1厅,中楼层/6层
长桥五村,整租,随时看房,徐汇,无,3800,押1付3),44,1室1厅,高楼层/6层
济阳三村-西营路114弄，德州路421弄,整租,随时看房,浦东,距离地铁长清路795米,3900,押1付3),43.99,1室1厅,顶层/6层
上南三村,整租,提前预约,浦东,距离地铁成山路367米,4800,押1付3),32,1室1厅,底层/6层
博二小区,整租,提前预约,浦东,距离地铁博兴路297米,5500,押2付3),65,2室1厅,高楼层/6层
华高庭园,整租,提前预约,浦东,距离地铁金京路517米,8000,押1付3),123,3室2厅,低楼层/6层
江南一村,整租,提前预约,徐汇,距离地铁大木桥路132米,4500,押2付3),40,1室0厅,中楼层/5层
楼园小区,整租,提前预约,徐汇,距离地铁上海南站1032米,4900,押1付3),61,2室1厅,中楼层/6层
寿光小区-寿光路75弄,整租,提前预约,浦东,距离地铁五莲路565米,6000,押2付3),65,2室1厅,顶层/6层
龙南五村,整租,提前预约,徐汇,距离地铁龙耀路518米,6000,押1付3),65,2室1厅,顶层/6层
粤亮湾景苑,整租,提前预约,浦东,无,4200,押1付3),81,2室1厅,高楼层/18层
金桥新村四街坊-博兴路986弄,整租,提前预约,浦东,距离地铁博兴路604米,4000,押2付3),65,2室1厅,底层/6层
蓝色港湾,整租,提前预约,闵行,距离地铁东兰路820米,7300,押2付3),100,2室2厅,中楼层/6层
凌兆新村-凌兆路379弄,整租,提前预约,浦东,距离地铁灵岩南路596米,4800,押2付3),68.98,2室1厅,顶层/6层
真光七街坊,整租,提前预约,普陀,无,4500,押2付3),50.9,1室1厅,顶层/6层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
三佳花苑,整租,提前预约,闵行,距离地铁七宝949米,4800,押1付3),54,2室1厅,低楼层/5层
领秀爱建园,整租,提前预约,徐汇,距离地铁漕溪路565米,5350,押2付3),45,1室1厅,中楼层/18层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
上陇新村,整租,提前预约,闵行,距离地铁莲花路1366米,3700,押1付3),42.65,1室1厅,高楼层/6层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
上陇新村,整租,提前预约,闵行,距离地铁莲花路1366米,3700,押1付3),42.65,1室1厅,高楼层/6层
宛南六村,整租,提前预约,徐汇,距离地铁上海游泳馆495米,5700,押1付3),50,2室1厅,中楼层/6层
平南四村,整租,提前预约,闵行,距离地铁东兰路252米,4300,押1付3),55,1室1厅,中楼层/6层
东三小区,整租,随时看房,浦东,距离地铁临沂新村1035米,4600,押1付3),35.3,1室1厅,顶层/6层
莲业新村,整租,随时看房,浦东,距离地铁锦绣路1475米,4200,押1付3),50,1室1厅,高楼层/6层
井亭苑,整租,随时看房,闵行,距离地铁紫藤路743米,7200,押2付3),70,2室1厅,顶层/6层
博二小区,整租,提前预约,浦东,距离地铁博兴路297米,5600,押2付3),65,2室1厅,顶层/6层
钦州路111弄,整租,提前预约,徐汇,距离地铁漕宝路662米,6500,押2付3),55,2室1厅,高楼层/7层
绿地崴廉公寓,整租,提前预约,浦东,距离地铁金京路1116米,6500,押2付3),97,2室2厅,高楼层/16层
泰德花苑,整租,提前预约,徐汇,距离地铁上海体育馆330米,11500,押2付3),110,2室2厅,高楼层/32层
岳阳大楼,整租,提前预约,徐汇,距离地铁肇嘉浜路565米,6600,押1付3),36,1室1厅,高楼层/14层
桂康小区,整租,提前预约,徐汇,距离地铁桂林公园132米,4500,押1付3),35,1室1厅,低楼层/6层
金杨三街坊,整租,随时看房,浦东,距离地铁云山路386米,4000,押1付3),45,1室1厅,顶层/7层
宁阳小区,整租,提前预约,浦东,距离地铁塘桥384米,3800,押3付3),32,1室1厅,顶层/6层
嘉秀坊,整租,提前预约,嘉定,无,5500,押2付3),70,2室1厅,底层/6层
寿益坊,整租,提前预约,徐汇,距离地铁上海南站1348米,6600,押2付3),60,2室1厅,底层/6层
清水苑-台儿庄路363弄,合租,提前预约,浦东,距离地铁台儿庄路725米,1600,押2付3),10,1室1厅,中楼层/6层
井亭苑,整租,提前预约,闵行,距离地铁紫藤路743米,6800,押1付3),50,1室1厅,低楼层/6层
张江公馆,整租,提前预约,浦东,距离地铁广兰路1404米,12000,押2付3),140,3室2厅,顶层/25层
华利公寓,整租,提前预约,徐汇,距离地铁桂林路565米,6200,押2付3),63,1室1厅,中楼层/29层
崂山五村,整租,提前预约,浦东,距离地铁浦东大道342米,7000,押2付3),55,2室1厅,底层/6层
绿景苑,整租,提前预约,浦东,距离地铁台儿庄路399米,7500,押2付3),103.37,2室2厅,高楼层/6层
龙阳花苑-东方异彩,合租,提前预约,浦东,距离地铁临沂新村660米,3000,押2付3),20,1室1厅,中楼层/18层
新时代富嘉花园,整租,提前预约,闵行,距离地铁顾戴路693米,15500,押1付3),140,3室2厅,中楼层/11层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
南阳小区,整租,提前预约,浦东,无,3000,押1付3),39,1室1厅,顶层/6层
上陇新村,整租,提前预约,闵行,距离地铁莲花路1366米,3700,押1付3),42.65,1室1厅,高楼层/6层
宛南六村,整租,提前预约,徐汇,距离地铁上海游泳馆495米,5700,押1付3),50,2室1厅,中楼层/6层
四季全景台,整租,提前预约,浦东,距离地铁世纪公园349米,22000,押1付3),212,4室2厅,中楼层/21层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
彭浦新村-闻喜路930弄,整租,提前预约,静安,距离地铁彭浦新村190米,4000,押2付3),43,1室0厅,中楼层/6层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
阳光城市家园,整租,提前预约,浦东,距离地铁金京路953米,2300,押2付3),20,1室1厅,中楼层/14层
延吉六村,整租,提前预约,杨浦,距离地铁延吉中路179米,3800,押2付3),36.48,1室1厅,中楼层/6层
莲浦府邸二期,整租,提前预约,闵行,距离地铁七莘路862米,25000,押1付3),279,4室2厅,底层/3层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
三佳花苑,整租,提前预约,闵行,距离地铁七宝949米,4800,押1付3),54,2室1厅,低楼层/5层
领秀爱建园,整租,提前预约,徐汇,距离地铁漕溪路565米,5350,押2付3),45,1室1厅,中楼层/18层
香山西北街坊,整租,提前预约,浦东,距离地铁德平路420米,5600,押2付3),65,2室1厅,顶层/6层
久远小区,整租,提前预约,浦东,距离地铁龙阳路775米,5500,押1付3),66,2室1厅,高楼层/7层
上海未来,整租,提前预约,浦东,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
久远小区,整租,提前预约,浦,距离地铁龙阳路775米,5500,押1付3),66,2室1厅,高楼层/7层
上海未来,整租,提前预约,浦,距离地铁云山路236米,3000,押1付3),20,1室2厅,顶层/11层
三佳花苑,整租,提前预约,闵,距离地铁七宝949米,4800,押1付3),54,2室1厅,低楼层/5层
领秀爱建园,整租,提前预约,徐,距离地铁漕溪路565米,5350,押2付3),45,1室1厅,中楼层/18层
香山西北街坊,整租,提前预约,浦,距离地铁德平路420米,5600,押2付3),65,2室1厅,顶层/6层
朱家门小区-浦东大道2970弄,整租,随时看房,浦,距离地铁东陆路634米,4700,押2付3),55,2室1厅,高楼层/6层
金杨五街坊,整租,提前预约,浦,距离地铁蓝天路450米,4800,押2付3),48.68,1室1厅,高楼层/6层
紫藤苑,整租,提前预约,徐,无,10500,押2付3),101,2室2厅,低楼层/11层
梅陇五村,合租,提前预约,徐,无,2200,押2付3),20,2室1厅,高楼层/18层
百第宜山大楼,整租,提前预约,徐,距离地铁宜山路317米,5300,押2付3),32,1室1厅,中楼层/11层
宝仪花苑,整租,随时看房,闵行,距离地铁星中路1122米,5300,押1付3),59,2室1厅,中楼层/6层
金杨九街坊,合租,随时看房,浦东,距离地铁金桥路550米,1800,押1付3),15,1室0厅,底层/6层
